date,date.0,date.1,date.2,date.3,date.4,date.5,OT,OT.1,OT.2
897,32.32272,32.49266,34.38474,1801.12076,-0.605,48.48543,8.732031305480783,3.2529114148627585,0.0
898,32.33871,32.51405,34.3559,1796.40012,-0.62013,48.50365,8.721628125642479,3.2490359566488545,0.0
899,32.35465,32.53539,34.32641,1791.68901,-0.63593,48.52185,8.712007256639655,3.245451929805004,0.0
900,32.37055,32.55669,34.29624,1786.98715,-0.65237,48.54004,8.703196385784324,3.2421696485834284,0.0
901,32.3864,32.57794,34.26536,1782.29425,-0.6694,48.55821,8.69522068163675,3.239198488935052,0.0
902,32.40221,32.59914,34.23376,1777.60996,-0.68699,48.57637,8.688102775723198,3.2365468816988776,0.0
903,32.41796,32.6203,34.20141,1772.93396,-0.7051,48.59452,8.68186274910158,3.234222307597342,0.0
904,32.43367,32.64141,34.1683,1768.26586,-0.72368,48.61264,8.676518123398354,3.232231293897326,0.0
905,32.44933,32.66248,34.13441,1763.60527,-0.74271,48.63076,8.672083856000096,3.2305794126188783,0.0
906,32.46495,32.6835,34.09972,1758.9518,-0.76212,48.64886,8.668572339087836,3.2292712801754897,0.0
907,32.48051,32.70447,34.06421,1754.30502,-0.78188,48.66694,8.665993402250367,3.22831055834762,0.0
908,32.49604,32.7254,34.02789,1749.66448,-0.80195,48.68501,8.664354318466613,3.2276999565112825,0.0
909,32.51151,32.74628,33.99075,1745.02973,-0.82227,48.70307,8.663659813246735,3.227441235043345,0.0
910,32.52694,32.76712,33.95276,1740.40031,-0.84281,48.72111,8.663912076826506,3.2275352098642656,0.0
911,32.54232,32.78791,33.91395,1735.77573,-0.86352,48.73913,8.665110779277786,3.2279817580671266,0.0
912,32.55766,32.80865,33.87429,1731.1555,-0.88434,48.75714,8.66725308849393,3.228779824617687,0.0
913,32.57295,32.82935,33.83379,1726.53912,-0.90524,48.77514,8.670333691027098,3.2299274301168244,0.0
914,32.58819,32.85,33.79246,1721.92609,-0.92617,48.79312,8.674344815791866,3.2314216796307447,0.0
915,32.60339,32.87061,33.75029,1717.31588,-0.94707,48.81109,8.679276260692188,3.2332587726102378,0.0
916,32.61854,32.89117,33.7073,1712.70797,-0.96791,48.82904,8.685115422260358,3.23543401393197,0.0
917,32.63364,32.91168,33.6635,1708.10184,-0.98864,48.84698,8.691847328439229,3.23794182611071,0.0
918,32.6487,32.93215,33.61889,1703.49695,-1.00921,48.8649,8.69945467464407,3.24077576273334,0.0
919,32.66371,32.95257,33.57349,1698.89279,-1.02958,48.8828,8.707917863307111,3.2439285231902177,0.0
920,32.67868,32.97295,33.52732,1694.28882,-1.0497,48.9007,8.717215047089855,3.247391968772917,0.0
921,32.6936,32.99327,33.48038,1689.68452,-1.06953,48.91857,8.727322175980257,3.251157140219158,0.0
922,32.70847,33.01356,33.43271,1685.07935,-1.08903,48.93643,8.73821304853708,3.2552142768026786,0.0
923,32.7233,33.03379,33.38431,1680.4728,-1.10816,48.95427,8.749859367507682,3.259552837052322,0.0
924,32.73808,33.05398,33.33521,1675.86436,-1.12687,48.9721,8.762230800062966,3.2641615211911468,0.0
925,32.75282,33.07412,33.28544,1671.25352,-1.14513,48.98992,8.775295042929464,3.269028295399833,0.0
926,32.76751,33.09422,33.23502,1666.63978,-1.16291,49.00771,8.789017892645413,3.274140417988932,0.0
927,32.78216,33.11427,33.18398,1662.02265,-1.18015,49.02549,8.803363321173698,3.2794844675666592,0.0
928,32.79676,33.13427,33.13234,1657.40167,-1.19684,49.04325,8.818293557111257,3.285046373291552,0.0
929,32.81131,33.15423,33.08013,1652.77636,-1.21293,49.061,8.833769172675327,3.290811447277118,0.0
930,32.82582,33.17413,33.02739,1648.14628,-1.2284,49.07873,8.849749176640614,3.2967644192133965,0.0
931,32.84028,33.19399,32.97414,1643.511,-1.24322,49.09644,8.866191113376217,3.3028894732608007,0.0
932,32.85469,33.21381,32.92043,1638.87011,-1.25736,49.11414,8.883051168064235,3.3091702872468254,0.0
933,32.86906,33.23357,32.86627,1634.2232,-1.2708,49.13182,8.90028427816716,3.315590074190581,0.0
934,32.88339,33.25329,32.81171,1629.5699,-1.28351,49.14948,8.917844251140103,3.322131626153697,0.0
935,32.89767,33.27296,32.75677,1624.90985,-1.29548,49.16712,8.935683888360694,3.3287773604074733,0.0
936,32.9119,33.29258,32.70151,1620.24272,-1.30669,49.18475,8.953755115141192,3.335509367865802,0.0
937,32.92609,33.31216,32.64594,1615.5682,-1.31711,49.20235,8.972009116673334,3.3423094637282103,0.0
938,32.94023,33.33168,32.59011,1610.88599,-1.32675,49.21994,8.99039647969143,3.349159240253089,0.0
939,32.95432,33.35116,32.53406,1606.19584,-1.33558,49.23751,9.008867339502885,3.356040121530428,0.0
940,32.96837,33.37059,32.47781,1601.49751,-1.3436,49.25506,9.027371532086155,3.362933420142304,0.0
941,32.98237,33.38997,32.42141,1596.79078,-1.35081,49.2726,9.045858750769252,3.369820395529757,0.0
